run_id,evidence_id,product_id,product_name,vintage_label,source_domain,ocr_status,processor,image_sha256,line_count,ingredient_signal_found,ingredient_signal_line_count,average_confidence,private_image_present,candidate_only,manual_verified
pilot-photo-capture-dry-run,poptarts_frosted_strawberry_evidence_10,poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,current_2020s,www.poptarts.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,poptarts_frosted_strawberry_evidence_6,poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,2010s,www.foodrepo.org,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,poptarts_frosted_strawberry_evidence_7,poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,current_2020s,smartlabel.kelloggs.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,poptarts_frosted_strawberry_evidence_8,poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,current_2020s,www.poptarts.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,poptarts_frosted_strawberry_evidence_9,poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,current_2020s,www.walmart.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,campbells_tomato_soup_evidence_0,campbells_tomato_soup,Campbell's Condensed Tomato Soup,earliest_verified_label,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,campbells_tomato_soup_evidence_1,campbells_tomato_soup,Campbell's Condensed Tomato Soup,earliest_verified_label;1980s_or_earlier,commons.wikimedia.org,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,campbells_tomato_soup_evidence_2,campbells_tomato_soup,Campbell's Condensed Tomato Soup,earliest_verified_label,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,campbells_tomato_soup_evidence_3,campbells_tomato_soup,Campbell's Condensed Tomato Soup,earliest_verified_label;1980s_or_earlier,www.loc.gov,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,cheerios_original_evidence_0,cheerios_original,Cheerios Original,earliest_verified_label;1980s_or_earlier,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,cheerios_original_evidence_2,cheerios_original,Cheerios Original,earliest_verified_label;1980s_or_earlier,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,cheerios_original_evidence_3,cheerios_original,Cheerios Original,earliest_verified_label,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,cheerios_original_evidence_4,cheerios_original,Cheerios Original,1980s_or_earlier,www.flickr.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
pilot-photo-capture-dry-run,cheerios_original_evidence_5,cheerios_original,Cheerios Original,1990s,theimaginaryworld.com,ocr_skipped_no_image,not_run,,0,0,0,,0,1,0
