run_id,packet_id,packet_rank,product_id,product_name,vintage_label,source_domain,source_url,source_title,surface_count,primary_text_rows,support_text_rows,capture_surface_order,candidate_only,manual_verified
cwa-ingredient-private-run-v1,cwa_ingredient_packet_da1651af787730,26,kit_kat_bar,Kit Kat Bar,2006,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2006-kit-kat/,2006 Kit Kat Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_373b0e85d855ec,27,kit_kat_bar,Kit Kat Bar,2007,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2007-kit-kat/,2007 Kit Kat Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_72af616e1e986a,28,snickers_bar,Snickers Bar,1939,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940s-snickers/,1939 Snickers Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_be9651aed9a9bf,29,snickers_bar,Snickers Bar,1940s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940s-snickers-2/,1940s Snickers Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_cf095a529839ae,30,snickers_bar,Snickers Bar,1950s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1950s-snickers/,1950s Snickers Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_ddded09968e768,31,snickers_bar,Snickers Bar,1983,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1983-snickers/,1983 Snickers Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_a1563afe4d2e7f,32,snickers_bar,Snickers Bar,1990,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1990-snickers/,1990 Snickers Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_08f3def6d53b44,33,snickers_bar,Snickers Bar,2002,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2002-snickers/,2002 Snickers Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_4cdf0ea6ee12b6,34,mms_milk_chocolate,M&M's Milk Chocolate Candies,1970s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1970s-mms/,1970s M&M's Milk Chocolate Candies source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_6d2be6c2f70415,35,mms_milk_chocolate,M&M's Milk Chocolate Candies,1997,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1997-mm/,1997 M&M's Milk Chocolate Candies source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_884f8d837cfd2e,36,mms_milk_chocolate,M&M's Milk Chocolate Candies,1997,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1997-mm-2/,1997 M&M's Milk Chocolate Candies source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_9e67f67ffedb0d,37,mms_milk_chocolate,M&M's Milk Chocolate Candies,1998,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1998-mm-2/,1998 M&M's Milk Chocolate Candies source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_65274b9298d3e2,38,mms_milk_chocolate,M&M's Milk Chocolate Candies,1998,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1998-mm/,1998 M&M's Milk Chocolate Candies source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_74790ccfbe4be3,39,twix_bar,Twix Bar,2002,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2002-twix/,2002 Twix Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_66923432543be1,40,twix_bar,Twix Bar,2003,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2003-twix/,2003 Twix Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_72b087d6b7d783,41,twix_bar,Twix Bar,2004,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2004-twix/,2004 Twix Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_5be1acafa1de79,42,twix_bar,Twix Bar,2006,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2006-twix/,2006 Twix Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_4022824844b592,43,twix_bar,Twix Bar,2009,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2009-twix/,2009 Twix Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_2280a6b4f9504b,44,milky_way_bar,Milky Way Bar,1939,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1939-milky-way/,1939 Milky Way Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_b0bb8fbc2d7235,45,milky_way_bar,Milky Way Bar,1940s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940s-milky-way/,1940s Milky Way Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_52c47e15c1d0c1,46,milky_way_bar,Milky Way Bar,1950s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1950s-milky-way-2/,1950s Milky Way Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_e06e18ec457cbe,47,milky_way_bar,Milky Way Bar,1958,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1958-milky-way/,1958 Milky Way Bar source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_35c7db6a33734d,48,tootsie_roll,Tootsie Roll,1940s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/,1940s Tootsie Roll source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
cwa-ingredient-private-run-v1,cwa_ingredient_packet_8e084e5c1cb0c4,49,tootsie_roll,Tootsie Roll,1960s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1960s-tootsie-roll-2/,1960s Tootsie Roll source page,5,2,3,ingredient_panel;nutrition_panel;wrapper_back_or_side;net_weight;maker_or_date,1,0
